,didok,parkrail_anzahl,parkrail_preis_tag,parkrail_preis_monat,parkrail_preis_jahr,parkrail_pflichtig_zeit1,parkrail_pflichtig_zeit2,parkrail_pflichtig_zeit3,parkrail_bemerkung,railtaxitext,railtaxiinfo,mietvelo_bezeichnung,mietvelo_anzahl,mietvelo_bemerkung,veloparking_status_d,veloparking_bemerkung_d,veloparking_abschliessbar,veloparking_abschliessbar_text,carsharing_standort_bezeichnung,parkrail_app,parkrail_webshop,parkrail_lokal,parkrail_automat,bpuic,bezeichnung_offiziell,abkuerzung,lod,tu_nummer,meteo,plz,geopos.lon,geopos.lat,train_station_ids
0,10,,,,,,,,"Private Parkangebote: http://www.parkleitsystem-basel.ch/stadtplan.php<br>
3 E-Ladestationen vorhanden.",Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
504,4131,3.0,,,,,,,3 kostenlose Parkplätze am Bahnhof,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8504131,Cheyres,CHS,http://lod.opentransportdata.swiss/didok/8504131,11,https://meteo.sbb.ch/?didok=8504131,1468,6.786393706697191,46.81694583078504,/8504131
505,4132,34.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Nur Monatsabos erhältlich.<br>
Die Parkuhr geht in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,1.0,1.0,0.0,1.0,8504132,Estavayer-le-Lac,EST,http://lod.opentransportdata.swiss/didok/8504132,11,https://meteo.sbb.ch/?didok=8504132,1470,6.842967233408462,46.84449884868033,/8504132
506,4133,5.0,0.0,0.0,0.0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8504133,Cugy FR,CGY,http://lod.opentransportdata.swiss/didok/8504133,11,https://meteo.sbb.ch/?didok=8504133,1482,6.889164589874838,46.81602827918348,/8504133
507,4134,86.0,5.0,50.0,500.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking",,,,,,Immer genügend Veloabstellplätze verfügbar,,1.0,Gepäckschalter,Payerne Gare,1.0,1.0,0.0,1.0,8504134,Payerne,PAY,http://lod.opentransportdata.swiss/didok/8504134,11,https://meteo.sbb.ch/?didok=8504134,1530,6.939884923199122,46.81964995917916,/8504134
508,4135,6.0,4.0,40.0,400.0,00.00 - 24.00,Gratis,Gratis,"Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.",,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,0.0,0.0,8504135,Corcelles-Sud,CS,http://lod.opentransportdata.swiss/didok/8504135,11,https://meteo.sbb.ch/?didok=8504135,1562,6.957192176936629,46.82884737330354,/8504135/8504123
509,4136,12.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,0.0,1.0,8504136,Cousset,COUS,http://lod.opentransportdata.swiss/didok/8504136,11,https://meteo.sbb.ch/?didok=8504136,1774,6.977491130713585,46.81860488055185,/8504136
510,4137,,0.0,0.0,0.0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,0.0,0.0,0.0,0.0,8504137,Léchelles,LECH,http://lod.opentransportdata.swiss/didok/8504137,11,https://meteo.sbb.ch/?didok=8504137,1773,7.0116270049428815,46.82845973328726,/8504137
511,4138,39.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,1.0,1.0,8504138,Grolley,GRO,http://lod.opentransportdata.swiss/didok/8504138,11,https://meteo.sbb.ch/?didok=8504138,1772,7.066052544374658,46.83197884477911,/8504138
512,4139,20.0,4.0,40.0,400.0,00.00 - 24.00,00.00 - 24.00,00.00 - 24.00,"Die Parkuhr geht in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Tagesparkingtickets können auch am Billettautomaten gekauft werden.",Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,1.0,1.0,1.0,1.0,8504139,Belfaux CFF,BF,http://lod.opentransportdata.swiss/didok/8504139,11,https://meteo.sbb.ch/?didok=8504139,1782,7.10623013610596,46.81692461024257,/8504139/8504182
513,4140,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,,,,,8504140,Muntelier-Löwenberg,LOEW,http://lod.opentransportdata.swiss/didok/8504140,11,https://meteo.sbb.ch/?didok=8504140,3280,7.133261520616004,46.9379741514336,/8504140
514,4141,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0.0,,,,,,,8504141,Henniez,HEN,http://lod.opentransportdata.swiss/didok/8504141,11,https://meteo.sbb.ch/?didok=8504141,1525,6.870105878465711,46.73500140626433,/8504141
515,4144,,,,,,,,,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0.0,,,,,,,8504144,Yverdon-Champ Pittet,CHP,http://lod.opentransportdata.swiss/didok/8504144,11,https://meteo.sbb.ch/?didok=8504144,1400,6.662320118216995,46.782149593661295,/8504144
